review,product_id
1,21
3,1
2,8
1,5
5,22
5,3
1,14
1,1
2,7
5,17
5,1
5,7
2,14
5,15
1,9
2,25
4,23
3,11
2,5
3,25
1,4
1,13
3,12
3,20
4,2
1,18
1,13
3,18
5,21
5,12
1,7
2,2
3,25
2,3
4,4
4,9
3,21
3,6
2,12
3,22
1,23
2,20
2,18
4,6
3,13
5,21
3,8
1,25
1,8
4,11
1,9
5,7
3,23
4,7
4,13
3,5
2,5
5,24
3,18
5,24
5,14
3,13
2,8
4,17
1,3
2,4
2,21
4,22
1,20
4,13
4,20
3,17
1,18
1,22
5,22
3,25
3,25
3,4
2,14
1,15
3,24
2,17
1,17
3,21
5,21
2,20
3,5
2,25
5,18
5,1
4,11
1,1
3,12
1,8
5,8
1,3
4,24
5,3
2,25
4,5
2,18
5,9
4,20
5,7
2,25
3,23
3,13
5,15
1,15
2,8
3,3
5,1
2,18
2,19
1,1
1,23
1,8
3,2
5,3
3,8
4,22
5,7
5,5
4,19
4,8
2,14
1,4
4,22
4,12
4,14
1,24
1,22
4,2
3,24
2,4
2,7
4,18
4,5
3,6
2,15
4,3
1,18
5,2
1,1
2,25
4,6
4,16
4,7
2,2
1,13
3,13
3,15
5,14
4,22
2,5
2,10
5,2
5,24
3,2
1,2
4,19
5,17
1,6
1,17
1,6
1,20
2,22
1,13
2,19
5,19
5,2
4,3
5,22
5,19
3,11
3,7
3,8
2,13
3,22
3,15
1,25
4,1
5,20
1,4
2,18
3,17
3,5
2,3
3,12
4,6
3,18
5,20
5,1
1,10
3,5
1,4
5,24
3,5
5,10
3,7
3,7
4,17
1,9
4,3
1,9
3,1
2,25
3,21
4,6
4,18
1,18
1,4
2,23
1,18
5,12
2,18
2,14
3,2
1,12
2,12
2,22
1,22
5,12
5,14
2,24
2,8
4,6
2,1
3,24
2,14
2,9
1,23
1,13
2,16
4,7
3,12
2,8
2,1
3,13
1,9
3,25
5,12
5,13
1,11
3,4
5,6
1,9
5,4
3,14
3,24
5,14
1,17
5,13
3,7
4,2
5,1
2,18
4,12
3,3
3,20
1,22
3,24
